a	0 a
nháy	nh ay1
nhâm	nh aam
nhân	nh aan
nhâng	nh aang
nhâu	nh aau
nhây	nh aay
nhã	nh a4
nhãi	nh ai4
nhãm	nh am4
nhãn	nh an4
nhãng	nh ang4
nhãnh	nh anh4
nhão	nh ao4
nhãu	nh au4
nhãy	nh ay4
nhè	nh e2
nhèm	nh em2
nhèn	nh en2
nhèng	nh eng2
nhèo	nh eo2
nhé	nh e1
nhéc	nh ec1
nhém	nh em1
nhén	nh en1
nhéng	nh eng1
nhéo	nh eo1
nhép	nh ep1
nhét	nh et1
nhê	nh ee
nhêm	nh eem
nhên	nh een
nhênh	nh eenh
nhêu	nh eeu
nhì	nh i2
nhìa	nh ia2
nhìm	nh im2
nhìn	nh in2
nhình	nh inh2
nhìu	nh iu2
nhí	nh i1
nhía	nh ia1
nhích	nh ich1
nhím	nh im1
nhín	nh in1
nhính	nh inh1
nhíp	nh ip1
nhít	nh it1
nhíu	nh iu1
nhò	nh o2
nhòa	nh oa2
nhòe	nh oe2
nhòi	nh oi2
nhòm	nh om2
nhòn	nh on2
nhòng	nh ong2
nhó	nh o1
nhóc	nh oc1
nhói	nh oi1
nhóm	nh om1
nhón	nh on1
nhóng	nh ong1
nhóp	nh op1
nhót	nh ot1
nhô	nh ob
nhôi	nh obi
nhôm	nh obm
nhôn	nh obn
nhông	nh obng
nhõ	nh o4
nhõi	nh oi4
nhõm	nh om4
nhõn	nh on4
nhõng	nh ong4
nhù	nh u2
nhùa	nh ua2
nhùi	nh ui2
nhùm	nh um2
nhùn	nh un2
nhùng	nh ung2
nhú	nh u1
nhúa	nh ua1
nhúc	nh uc1
nhúi	nh ui1
nhúm	nh um1
nhún	nh un1
nhúng	nh ung1
nhúp	nh up1
nhút	nh ut1
nhý	nh y1
nhăm	nh awm
nhăn	nh awn
nhăng	nh awng
nhĩ	nh i4
nhĩa	nh ia4
nhĩm	nh im4
nhĩn	nh in4
nhĩnh	nh inh4
nhĩu	nh iu4
nhũ	nh u4
nhũa	nh ua4
nhũi	nh ui4
nhũm	nh um4
nhũn	nh un4
nhũng	nh ung4
nhơ	nh ow
nhơi	nh owi
nhơm	nh owm
nhơn	nh own
như	nh uw
nhưa	nh uwa
nhưi	nh uwi
nhưm	nh uwm
nhưn	nh uwn
nhưng	nh uwng
nhưu	nh uwu
nhươi	nh uwowi
nhươm	nh uwowm
nhươn	nh uwown
nhương	nh uwowng
nhươu	nh uwowu
nhước	nh uwowc1
nhưới	nh uwowi1
nhướm	nh uwowm1
nhướn	nh uwown1
nhướng	nh uwowng1
nhướp	nh uwowp1
nhướt	nh uwowt1
nhướu	nh uwowu1
nhười	nh uwowi2
nhườm	nh uwowm2
nhườn	nh uwown2
nhường	nh uwowng2
nhườu	nh uwowu2
nhưởi	nh uwowi3
nhưởm	nh uwowm3
nhưởn	nh uwown3
nhưởng	nh uwowng3
nhưởu	nh uwowu3
nhưỡi	nh uwowi4
nhưỡm	nh uwowm4
nhưỡn	nh uwown4
nhưỡng	nh uwowng4
nhưỡu	nh uwowu4
nhược	nh uwowc5
nhượi	nh uwowi5
nhượm	nh uwowm5
nhượn	nh uwown5
nhượng	nh uwowng5
nhượp	nh uwowp5
nhượt	nh uwowt5
nhượu	nh uwowu5
nhạ	nh a5
nhạc	nh ac5
nhạch	nh ach5
nhại	nh ai5
nhạm	nh am5
nhạn	nh an5
nhạng	nh ang5
nhạnh	nh anh5
nhạo	nh ao5
nhạp	nh ap5
nhạt	nh at5
nhạu	nh au5
nhạy	nh ay5
nhả	nh a3
nhải	nh ai3
nhảm	nh am3
nhản	nh an3
nhảng	nh ang3
nhảnh	nh anh3
nhảo	nh ao3
nhảu	nh au3
nhảy	nh ay3
nhấc	nh aac1
nhấm	nh aam1
nhấn	nh aan1
nhấng	nh aang1
nhấp	nh aap1
nhất	nh aat1
nhấu	nh aau1
nhấy	nh aay1
nhầm	nh aam2
nhần	nh aan2
nhầng	nh aang2
nhầu	nh aau2
nhầy	nh aay2
nhẩm	nh aam3
nhẩn	nh aan3
nhẩng	nh aang3
nhẩu	nh aau3
nhẩy	nh aay3
nhẫm	nh aam4
nhẫn	nh aan4
nhẫng	nh aang4
nhẫu	nh aau4
nhẫy	nh aay4
nhậc	nh aac5
nhậm	nh aam5
nhận	nh aan5
nhậng	nh aang5
nhập	nh aap5
nhật	nh aat5
nhậu	nh aau5
nhậy	nh aay5
nhắc	nh awc1
nhắm	nh awm1
nhắn	nh awn1
nhắng	nh awng1
nhắp	nh awp1
nhắt	nh awt1
nhằm	nh awm2
nhằn	nh awn2
nhằng	nh awng2
nhẳm	nh awm3
nhẳn	nh awn3
nhẳng	nh awng3
nhẵm	nh awm4
nhẵn	nh awn4
nhẵng	nh awng4
nhặc	nh awc5
nhặm	nh awm5
nhặn	nh awn5
nhặng	nh awng5
nhặp	nh awp5
nhặt	nh awt5
nhẹ	nh e5
nhẹc	nh ec5
nhẹm	nh em5
nhẹn	nh en5
nhẹng	nh eng5
nhẹo	nh eo5
nhẹp	nh ep5
nhẹt	nh et5
nhẻ	nh e3
nhẻm	nh em3
nhẻn	nh en3
nhẻng	nh eng3
nhẻo	nh eo3
nhẽ	nh e4
nhẽm	nh em4
nhẽn	nh en4
nhẽng	nh eng4
nhẽo	nh eo4
nhế	nh ee1
nhếch	nh eech1
nhếm	nh eem1
nhến	nh een1
nhếnh	nh eenh1
nhếp	nh eep1
nhết	nh eet1
nhếu	nh eeu1
nhề	nh ee2
nhềm	nh eem2
nhền	nh een2
nhềnh	nh eenh2
nhều	nh eeu2
nhể	nh ee3
nhểm	nh eem3
nhển	nh een3
nhểnh	nh eenh3
nhểu	nh eeu3
nhễ	nh ee4
nhễm	nh eem4
nhễn	nh een4
nhễnh	nh eenh4
nhễu	nh eeu4
nhệ	nh ee5
nhệch	nh eech5
nhệm	nh eem5
nhện	nh een5
nhệnh	nh eenh5
nhệp	nh eep5
nhệt	nh eet5
nhệu	nh eeu5
nhỉ	nh i3
nhỉa	nh ia3
nhỉm	nh im3
nhỉn	nh in3
nhỉnh	nh inh3
nhỉu	nh iu3
nhị	nh i5
nhịa	nh ia5
nhịch	nh ich5
nhịm	nh im5
nhịn	nh in5
nhịnh	nh inh5
nhịp	nh ip5
nhịt	nh it5
nhịu	nh iu5
nhọ	nh o5
nhọc	nh oc5
nhọi	nh oi5
nhọm	nh om5
nhọn	nh on5
nhọng	nh ong5
nhọp	nh op5
nhọt	nh ot5
nhỏ	nh o3
nhỏi	nh oi3
nhỏm	nh om3
nhỏn	nh on3
nhỏng	nh ong3
nhố	nh ob1
nhốc	nh obc1
nhối	nh obi1
nhốm	nh obm1
nhốn	nh obn1
nhống	nh obng1
nhốp	nh obp1
nhốt	nh obt1
nhồ	nh ob2
nhồi	nh obi2
nhồm	nh obm2
nhồn	nh obn2
nhồng	nh obng2
nhổ	nh ob3
nhổi	nh obi3
nhổm	nh obm3
nhổn	nh obn3
nhổng	nh obng3
nhỗ	nh ob4
nhỗi	nh obi4
nhỗm	nh obm4
nhỗn	nh obn4
nhỗng	nh obng4
nhộ	nh ob5
nhộc	nh obc5
nhội	nh obi5
nhộm	nh obm5
nhộn	nh obn5
nhộng	nh obng5
nhộp	nh obp5
nhột	nh obt5
nhớ	nh ow1
nhới	nh owi1
nhớm	nh owm1
nhớn	nh own1
nhớp	nh owp1
nhớt	nh owt1
nhờ	nh ow2
nhời	nh owi2
nhờm	nh owm2
nhờn	nh own2
nhở	nh ow3
nhởi	nh owi3
nhởm	nh owm3
nhởn	nh own3
nhỡ	nh ow4
nhỡi	nh owi4
nhỡm	nh owm4
nhỡn	nh own4
nhợ	nh ow5
nhợi	nh owi5
nhợm	nh owm5
nhợn	nh own5
nhợp	nh owp5
nhợt	nh owt5
nhụ	nh u5
nhụa	nh ua5
nhục	nh uc5
nhụi	nh ui5
nhụm	nh um5
nhụn	nh un5
nhụng	nh ung5
nhụp	nh up5
nhụt	nh ut5
nhụy	nh uy5
nhủ	nh u3
nhủa	nh ua3
nhủi	nh ui3
nhủm	nh um3
nhủn	nh un3
nhủng	nh ung3
nhứ	nh uw1
nhứa	nh uwa1
nhức	nh uwc1
nhứi	nh uwi1
nhứm	nh uwm1
nhứn	nh uwn1
nhứng	nh uwng1
nhứt	nh uwt1
nhứu	nh uwu1
nhừ	nh uw2
nhừa	nh uwa2
nhừi	nh uwi2
nhừm	nh uwm2
nhừn	nh uwn2
nhừng	nh uwng2
nhừu	nh uwu2
nhử	nh uw3
nhửa	nh uwa3
nhửi	nh uwi3
nhửm	nh uwm3
nhửn	nh uwn3
nhửng	nh uwng3
nhửu	nh uwu3
nhữ	nh uw4
nhữa	nh uwa4
nhữi	nh uwi4
nhữm	nh uwm4
nhữn	nh uwn4
những	nh uwng4
nhữu	nh uwu4
nhự	nh uw5
nhựa	nh uwa5
nhực	nh uwc5
nhựi	nh uwi5
nhựm	nh uwm5
nhựn	nh uwn5
nhựng	nh uwng5
nhựt	nh uwt5
nhựu	nh uwu5
nhỳ	nh y2
nhỵ	nh y5
nhỷ	nh y3
nhỹ	nh y4
ni	n i
nia	n ia
nim	n im
nin	n in
ninh	n inh
niu	n iu
niêm	n ieem
niên	n ieen
niêng	n ieeng
niêu	n ieeu
niếc	n ieec1
niếm	n ieem1
niến	n ieen1
niếng	n ieeng1
niếp	n ieep1
niết	n ieet1
niếu	n ieeu1
niềm	n ieem2
niền	n ieen2
niềng	n ieeng2
niều	n ieeu2
niểm	n ieem3
niển	n ieen3
niểng	n ieeng3
niểu	n ieeu3
niễm	n ieem4
niễn	n ieen4
niễng	n ieeng4
niễu	n ieeu4
niệc	n ieec5
niệm	n ieem5
niện	n ieen5
niệng	n ieeng5
niệp	n ieep5
niệt	n ieet5
niệu	n ieeu5
no	n o
noa	n oa
noai	n oai
noam	n oam
noan	n oan
noang	n oang
noanh	n oanh
noao	n oao
noay	n oay
noe	n oe
noem	n oem
noen	n oen
noeo	n oeo
noi	n oi
nom	n om
non	n on
nong	n ong
noong	n oong
noà	n oa2
noài	n oai2
noàm	n oam2
noàn	n oan2
noàng	n oang2
noành	n oanh2
noào	n oao2
noày	n oay2
noá	n oa1
noác	n oac1
noách	n oach1
noái	n oai1
noám	n oam1
noán	n oan1
noáng	n oang1
noánh	n oanh1
noáo	n oao1
noáp	n oap1
noát	n oat1
noáy	n oay1
noã	n oa4
noãi	n oai4
noãm	n oam4
noãn	n oan4
noãng	n oang4
noãnh	n oanh4
noão	n oao4
noãy	n oay4
noè	n oe2
noèm	n oem2
noèn	n oen2
noèo	n oeo2
noé	n oe1
noém	n oem1
noén	n oen1
noéo	n oeo1
noét	n oet1
noòng	n oong2
noóc	n ooc1
noóng	n oong1
noõng	n oong4
noăm	n oawm
noăn	n oawn
noăng	n oawng
noạ	n oa5
noạc	n oac5
noạch	n oach5
noại	n oai5
noạm	n oam5
noạn	n oan5
noạng	n oang5
noạnh	n oanh5
noạo	n oao5
noạp	n oap5
noạt	n oat5
noạy	n oay5
noả	n oa3
noải	n oai3
noảm	n oam3
noản	n oan3
noảng	n oang3
noảnh	n oanh3
noảo	n oao3
noảy	n oay3
noắc	n oawc1
noắm	n oawm1
noắn	n oawn1
noắng	n oawng1
noắt	n oawt1
noằm	n oawm2
noằn	n oawn2
noằng	n oawng2
noẳm	n oawm3
noẳn	n oawn3
noẳng	n oawng3
noẵm	n oawm4
noẵn	n oawn4
noẵng	n oawng4
noặc	n oawc5
noặm	n oawm5
noặn	n oawn5
noặng	n oawng5
noặt	n oawt5
noẹ	n oe5
noẹm	n oem5
noẹn	n oen5
noẹo	n oeo5
noẹt	n oet5
noẻ	n oe3
noẻm	n oem3
noẻn	n oen3
noẻo	n oeo3
noẽ	n oe4
noẽm	n oem4
noẽn	n oen4
noẽo	n oeo4
noọc	n ooc5
noọng	n oong5
noỏng	n oong3
nu	n u
nua	n ua
nui	n ui
num	n um
nun	n un
nung	n ung
nuy	n uy
nuya	n uya
nuyn	n uyn
nuynh	n uynh
nuyu	n uyu
nuyên	n uyeen
nuyến	n uyeen1
nuyết	n uyeet1
nuyền	n uyeen2
nuyển	n uyeen3
nuyễn	n uyeen4
nuyện	n uyeen5
nuyệt	n uyeet5
nuân	n uaan
nuâng	n uaang
nuây	n uaay
nuê	n uee
nuênh	n ueenh
nuôi	n uobi
nuôm	n uobm
nuôn	n uobn
nuông	n uobng
nuý	n uy1
nuýa	n uya1
nuých	n uych1
nuýn	n uyn1
nuýnh	n uynh1
nuýp	n uyp1
nuýt	n uyt1
nuýu	n uyu1
nuơ	n uow
nuấn	n uaan1
nuấng	n uaang1
nuất	n uaat1
nuấy	n uaay1
nuần	n uaan2
nuầng	n uaang2
nuầy	n uaay2
nuẩn	n uaan3
nuẩng	n uaang3
nuẩy	n uaay3
nuẫn	n uaan4
nuẫng	n uaang4
nuẫy	n uaay4
nuận	n uaan5
nuậng	n uaang5
nuật	n uaat5
nuậy	n uaay5
nuế	n uee1
nuếch	n ueech1
nuếnh	n ueenh1
nuề	n uee2
nuềnh	n ueenh2
nuể	n uee3
nuểnh	n ueenh3
nuễ	n uee4
nuễnh	n ueenh4
nuệ	n uee5
nuệch	n ueech5
nuệnh	n ueenh5
nuốc	n uobc1
nuối	n uobi1
nuốm	n uobm1
nuốn	n uobn1
nuống	n uobng1
nuốp	n uobp1
nuốt	n uobt1
nuồi	n uobi2
nuồm	n uobm2
nuồn	n uobn2
nuồng	n uobng2
nuổi	n uobi3
nuổm	n uobm3
nuổn	n uobn3
nuổng	n uobng3
nuỗi	n uobi4
nuỗm	n uobm4
nuỗn	n uobn4
nuỗng	n uobng4
nuộc	n uobc5
nuội	n uobi5
nuộm	n uobm5
nuộn	n uobn5
nuộng	n uobng5
nuộp	n uobp5
nuột	n uobt5
nuớ	n uow1
nuờ	n uow2
nuở	n uow3
nuỡ	n uow4
nuợ	n uow5
nuỳ	n uy2
nuỳa	n uya2
nuỳn	n uyn2
nuỳnh	n uynh2
nuỳu	n uyu2
nuỵ	n uy5
nuỵa	n uya5
nuỵch	n uych5
nuỵn	n uyn5
nuỵnh	n uynh5
nuỵp	n uyp5
nuỵt	n uyt5
nuỵu	n uyu5
nuỷ	n uy3
nuỷa	n uya3
nuỷn	n uyn3
nuỷnh	n uynh3
nuỷu	n uyu3
nuỹ	n uy4
nuỹa	n uya4
nuỹn	n uyn4
nuỹnh	n uynh4
nuỹu	n uyu4
ny	n y
nà	n a2
nài	n ai2
nàm	n am2
nàn	n an2
nàng	n ang2
nành	n anh2
nào	n ao2
nàu	n au2
này	n ay2
ná	n a1
nác	n ac1
nách	n ach1
nái	n ai1
nám	n am1
nán	n an1
náng	n ang1
nánh	n anh1
náo	n ao1
náp	n ap1
nát	n at1
náu	n au1
náy	n ay1
nâm	n aam
nân	n aan
nâng	n aang
nâu	n aau
nây	n aay
nã	n a4
nãi	n ai4
nãm	n am4
nãn	n an4
nãng	n ang4
nãnh	n anh4
não	n ao4
nãu	n au4
nãy	n ay4
nè	n e2
nèm	n em2
nèn	n en2
nèng	n eng2
nèo	n eo2
né	n e1
néc	n ec1
ném	n em1
nén	n en1
néng	n eng1
néo	n eo1
nép	n ep1
nét	n et1
nê	n ee
nêm	n eem
nên	n een
nênh	n eenh
nêu	n eeu
nì	n i2
nìa	n ia2
nìm	n im2
nìn	n in2
nình	n inh2
nìu	n iu2
ní	n i1
nía	n ia1
ních	n ich1
ním	n im1
nín	n in1
nính	n inh1
níp	n ip1
nít	n it1
níu	n iu1
nò	n o2
nòi	n oi2
nòm	n om2
nòn	n on2
nòng	n ong2
nó	n o1
nóc	n oc1
nói	n oi1
nóm	n om1
nón	n on1
nóng	n ong1
nóp	n op1
nót	n ot1
nô	n ob
nôi	n obi
nôm	n obm
nôn	n obn
nông	n obng
nõ	n o4
nõi	n oi4
nõm	n om4
nõn	n on4
nõng	n ong4
nù	n u2
nùa	n ua2
nùi	n ui2
nùm	n um2
nùn	n un2
nùng	n ung2
nú	n u1
núa	n ua1
núc	n uc1
núi	n ui1
núm	n um1
nún	n un1
núng	n ung1
núp	n up1
nút	n ut1
ný	n y1
năm	n awm
năn	n awn
năng	n awng
nĩ	n i4
nĩa	n ia4
nĩm	n im4
nĩn	n in4
nĩnh	n inh4
nĩu	n iu4
nũ	n u4
nũa	n ua4
nũi	n ui4
nũm	n um4
nũn	n un4
nũng	n ung4
nơ	n ow
nơi	n owi
nơm	n owm
nơn	n own
nư	n uw
nưa	n uwa
nưi	n uwi
nưm	n uwm
nưn	n uwn
nưng	n uwng
nưu	n uwu
nươi	n uwowi
nươm	n uwowm
nươn	n uwown
nương	n uwowng
nươu	n uwowu
nước	n uwowc1
nưới	n uwowi1
nướm	n uwowm1
nướn	n uwown1
nướng	n uwowng1
nướp	n uwowp1
nướt	n uwowt1
nướu	n uwowu1
nười	n uwowi2
nườm	n uwowm2
nườn	n uwown2
nường	n uwowng2
nườu	n uwowu2
nưởi	n uwowi3
nưởm	n uwowm3
nưởn	n uwown3
nưởng	n uwowng3
nưởu	n uwowu3
nưỡi	n uwowi4
nưỡm	n uwowm4
nưỡn	n uwown4
nưỡng	n uwowng4
nưỡu	n uwowu4
nược	n uwowc5
nượi	n uwowi5
nượm	n uwowm5
nượn	n uwown5
nượng	n uwowng5
nượp	n uwowp5
nượt	n uwowt5
nượu	n uwowu5
nạ	n a5
nạc	n ac5
nạch	n ach5
nại	n ai5
nạm	n am5
nạn	n an5
nạng	n ang5
nạnh	n anh5
nạo	n ao5
nạp	n ap5
nạt	n at5
nạu	n au5
nạy	n ay5
nả	n a3
nải	n ai3
nảm	n am3
nản	n an3
nảng	n ang3
nảnh	n anh3
nảo	n ao3
nảu	n au3
nảy	n ay3
nấc	n aac1
nấm	n aam1
nấn	n aan1
nấng	n aang1
nấp	n aap1
nất	n aat1
nấu	n aau1
nấy	n aay1
nầm	n aam2
nần	n aan2
nầng	n aang2
nầu	n aau2
nầy	n aay2
nẩm	n aam3
nẩn	n aan3
nẩng	n aang3
nẩu	n aau3
nẩy	n aay3
nẫm	n aam4
nẫn	n aan4
nẫng	n aang4
nẫu	n aau4
nẫy	n aay4
nậc	n aac5
nậm	n aam5
nận	n aan5
nậng	n aang5
nập	n aap5
nật	n aat5
nậu	n aau5
nậy	n aay5
nắc	n awc1
nắm	n awm1
nắn	n awn1
nắng	n awng1
nắp	n awp1
nắt	n awt1
nằm	n awm2
nằn	n awn2
nằng	n awng2
nẳm	n awm3
nẳn	n awn3
nẳng	n awng3
nẵm	n awm4
nẵn	n awn4
nẵng	n awng4
nặc	n awc5
nặm	n awm5
nặn	n awn5
nặng	n awng5
nặp	n awp5
nặt	n awt5
nẹ	n e5
nẹc	n ec5
nẹm	n em5
nẹn	n en5
nẹng	n eng5
nẹo	n eo5
nẹp	n ep5
nẹt	n et5
nẻ	n e3
nẻm	n em3
nẻn	n en3
nẻng	n eng3
nẻo	n eo3
nẽ	n e4
nẽm	n em4
nẽn	n en4
nẽng	n eng4
nẽo	n eo4
nế	n ee1
nếch	n eech1
nếm	n eem1
nến	n een1
nếnh	n eenh1
nếp	n eep1
nết	n eet1
nếu	n eeu1
nề	n ee2
nềm	n eem2
nền	n een2
nềnh	n eenh2
nều	n eeu2
nể	n ee3
nểm	n eem3
nển	n een3
nểnh	n eenh3
nểu	n eeu3
nễ	n ee4
nễm	n eem4
nễn	n een4
nễnh	n eenh4
nễu	n eeu4
nệ	n ee5
nệch	n eech5
nệm	n eem5
nện	n een5
nệnh	n eenh5
nệp	n eep5
nệt	n eet5
nệu	n eeu5
nỉ	n i3
nỉa	n ia3
nỉm	n im3
nỉn	n in3
nỉnh	n inh3
nỉu	n iu3
nị	n i5
nịa	n ia5
nịch	n ich5
nịm	n im5
nịn	n in5
nịnh	n inh5
nịp	n ip5
nịt	n it5
nịu	n iu5
nọ	n o5
nọa	n oa5
nọc	n oc5
nọi	n oi5
nọm	n om5
nọn	n on5
nọng	n ong5
nọp	n op5
nọt	n ot5
nỏ	n o3
nỏi	n oi3
nỏm	n om3
nỏn	n on3
nỏng	n ong3
nố	n ob1
nốc	n obc1
nối	n obi1
nốm	n obm1
nốn	n obn1
nống	n obng1
nốp	n obp1
nốt	n obt1
nồ	n ob2
nồi	n obi2
nồm	n obm2
nồn	n obn2
nồng	n obng2
nổ	n ob3
nổi	n obi3
nổm	n obm3
nổn	n obn3
nổng	n obng3
nỗ	n ob4
nỗi	n obi4
nỗm	n obm4
nỗn	n obn4
nỗng	n obng4
nộ	n ob5
nộc	n obc5
nội	n obi5
nộm	n obm5
nộn	n obn5
nộng	n obng5
nộp	n obp5
nột	n obt5
nớ	n ow1
nới	n owi1
nớm	n owm1
nớn	n own1
nớp	n owp1
nớt	n owt1
nờ	n ow2
nời	n owi2
nờm	n owm2
nờn	n own2
nở	n ow3
nởi	n owi3
nởm	n owm3
nởn	n own3
nỡ	n ow4
nỡi	n owi4
nỡm	n owm4
nỡn	n own4
nợ	n ow5
nợi	n owi5
nợm	n owm5
nợn	n own5
nợp	n owp5
nợt	n owt5
nụ	n u5
nụa	n ua5
nục	n uc5
nụi	n ui5
nụm	n um5
nụn	n un5
nụng	n ung5
nụp	n up5
nụt	n ut5
nụy	n uy5
nủ	n u3
nủa	n ua3
nủi	n ui3
nủm	n um3
nủn	n un3
nủng	n ung3
nứ	n uw1
nứa	n uwa1
nức	n uwc1
nứi	n uwi1
nứm	n uwm1
nứn	n uwn1
nứng	n uwng1
nứt	n uwt1
nứu	n uwu1
nừ	n uw2
nừa	n uwa2
nừi	n uwi2
nừm	n uwm2
nừn	n uwn2
nừng	n uwng2
nừu	n uwu2
nử	n uw3
nửa	n uwa3
nửi	n uwi3
nửm	n uwm3
nửn	n uwn3
nửng	n uwng3
nửu	n uwu3
nữ	n uw4
nữa	n uwa4
nữi	n uwi4
nữm	n uwm4
nữn	n uwn4
nững	n uwng4
nữu	n uwu4
nự	n uw5
nựa	n uwa5
nực	n uwc5
nựi	n uwi5
nựm	n uwm5
nựn	n uwn5
nựng	n uwng5
nựt	n uwt5
nựu	n uwu5
nỳ	n y2
nỵ	n y5
nỷ	n y3
nỹ	n y4
o	0 o
oa	0 oa
oai	0 oai
oam	0 oam
oan	0 oan
oang	0 oang
oanh	0 oanh
oao	0 oao
oay	0 oay
oe	0 oe
oem	0 oem
oen	0 oen
oeo	0 oeo
oi	0 oi
om	0 om
on	0 on
ong	0 ong
oong	0 oong
oà	2 oa2
oài	2 oai2
oàm	2 oam2
oàn	2 oan2
oàng	2 oang2
oành	2 oanh2
oào	2 oao2
oày	2 oay2
oá	1 oa1
oác	1 oac1
oách	1 oach1
oái	1 oai1
oám	1 oam1
oán	1 oan1
oáng	1 oang1
oánh	1 oanh1
oáo	1 oao1
oáp	1 oap1
oát	1 oat1
oáy	1 oay1
oã	4 oa4
oãi	4 oai4
oãm	4 oam4
oãn	4 oan4
oãng	4 oang4
oãnh	4 oanh4
oão	4 oao4
oãy	4 oay4
oè	2 oe2
oèm	2 oem2
oèn	2 oen2
oèo	2 oeo2
oé	1 oe1
oém	1 oem1
oén	1 oen1
oéo	1 oeo1
oét	1 oet1
oòng	2 oong2
oóc	1 ooc1
oóng	1 oong1
oõng	4 oong4
oăm	0 oawm
oăn	0 oawn
oăng	0 oawng
oạ	5 oa5
oạc	5 oac5
oạch	5 oach5
oại	5 oai5
oạm	5 oam5
oạn	5 oan5
oạng	5 oang5
oạnh	5 oanh5
oạo	5 oao5
oạp	5 oap5
oạt	5 oat5
oạy	5 oay5
oả	3 oa3
oải	3 oai3
oảm	3 oam3
oản	3 oan3
oảng	3 oang3
oảnh	3 oanh3
oảo	3 oao3
oảy	3 oay3
oắc	1 oawc1
oắm	1 oawm1
oắn	1 oawn1
oắng	1 oawng1
oắt	1 oawt1
oằm	2 oawm2
oằn	2 oawn2
oằng	2 oawng2
oẳm	3 oawm3
oẳn	3 oawn3
oẳng	3 oawng3
oẵm	4 oawm4
oẵn	4 oawn4
oẵng	4 oawng4
oặc	5 oawc5
oặm	5 oawm5
oặn	5 oawn5
oặng	5 oawng5
oặt	5 oawt5
oẹ	5 oe5
oẹm	5 oem5
oẹn	5 oen5
oẹo	5 oeo5
oẹt	5 oet5
oẻ	3 oe3
oẻm	3 oem3
oẻn	3 oen3
oẻo	3 oeo3
oẽ	4 oe4
oẽm	4 oem4
oẽn	4 oen4
oẽo	4 oeo4
oọc	5 ooc5
oọng	5 oong5
oỏng	3 oong3
pa	p a
pai	p ai
pam	p am
pan	p an
pang	p ang
panh	p anh
pao	p ao
pau	p au
pay	p ay
pe	p e
pem	p em
pen	p en
peng	p eng
peo	p eo
pha	ph a
phai	ph ai
pham	ph am
phan	ph an
phang	ph ang
phanh	ph anh
phao	ph ao
phau	ph au
phay	ph ay
phe	ph e
phem	ph em
phen	ph en
pheng	ph eng
pheo	ph eo
phi	ph i
phia	ph ia
phim	ph im
phin	ph in
phinh	ph inh
phiu	ph iu
phiêm	ph ieem
phiên	ph ieen
phiêng	ph ieeng
phiêu	ph ieeu
phiếc	ph ieec1
phiếm	ph ieem1
phiến	ph ieen1
phiếng	ph ieeng1
phiếp	ph ieep1
phiết	ph ieet1
phiếu	ph ieeu1
phiềm	ph ieem2
phiền	ph ieen2
phiềng	ph ieeng2
phiều	ph ieeu2
phiểm	ph ieem3
phiển	ph ieen3
phiểng	ph ieeng3
phiểu	ph ieeu3
phiễm	ph ieem4
phiễn	ph ieen4
phiễng	ph ieeng4
phiễu	ph ieeu4
phiệc	ph ieec5
phiệm	ph ieem5
phiện	ph ieen5
phiệng	ph ieeng5
phiệp	ph ieep5
phiệt	ph ieet5
phiệu	ph ieeu5
pho	ph o
phoa	ph oa
phoai	ph oai
phoam	ph oam
phoan	ph oan
phoang	ph oang
phoanh	ph oanh
phoao	ph oao
phoay	ph oay
phoe	ph oe
phoem	ph oem
phoen	ph oen
phoeo	ph oeo
phoi	ph oi
phom	ph om
phon	ph on
phong	ph ong
phoong	ph oong
phoà	ph oa2
phoài	ph oai2
phoàm	ph oam2
phoàn	ph oan2
phoàng	ph oang2
phoành	ph oanh2
phoào	ph oao2
phoày	ph oay2
phoá	ph oa1
phoác	ph oac1
phoách	ph oach1
phoái	ph oai1
phoám	ph oam1
phoán	ph oan1
phoáng	ph oang1
phoánh	ph oanh1
phoáo	ph oao1
phoáp	ph oap1
phoát	ph oat1
phoáy	ph oay1
phoã	ph oa4
phoãi	ph oai4
phoãm	ph oam4
phoãn	ph oan4
phoãng	ph oang4
phoãnh	ph oanh4
phoão	ph oao4
phoãy	ph oay4
phoè	ph oe2
phoèm	ph oem2
phoèn	ph oen2
phoèo	ph oeo2
phoé	ph oe1
phoém	ph oem1
phoén	ph oen1
phoéo	ph oeo1
phoét	ph oet1
phoòng	ph oong2
phoóc	ph ooc1
phoóng	ph oong1
phoõng	ph oong4
phoăm	ph oawm
phoăn	ph oawn
phoăng	ph oawng
phoạ	ph oa5
phoạc	ph oac5
phoạch	ph oach5
phoại	ph oai5
phoạm	ph oam5
phoạn	ph oan5
phoạng	ph oang5
phoạnh	ph oanh5
phoạo	ph oao5
phoạp	ph oap5
phoạt	ph oat5
phoạy	ph oay5
phoả	ph oa3
phoải	ph oai3
phoảm	ph oam3
phoản	ph oan3
phoảng	ph oang3
phoảnh	ph oanh3
phoảo	ph oao3
phoảy	ph oay3
phoắc	ph oawc1
phoắm	ph oawm1
phoắn	ph oawn1
phoắng	ph oawng1
phoắt	ph oawt1
phoằm	ph oawm2
phoằn	ph oawn2
phoằng	ph oawng2
phoẳm	ph oawm3
phoẳn	ph oawn3
phoẳng	ph oawng3
phoẵm	ph oawm4
phoẵn	ph oawn4
phoẵng	ph oawng4
phoặc	ph oawc5
phoặm	ph oawm5
phoặn	ph oawn5
phoặng	ph oawng5
